already_normal,right_skewed,poisson_counts,click_rate,category
54.96714153011233,2.524839629223948,1,0.2861871207754158,red
48.61735698828815,6.749150468667424,2,0.1290002340140669,blue
56.47688538100692,0.24695044899906077,4,0.35797182895167423,red
65.23029856408026,1.7558783862461893,4,0.17454695304655402,red
47.658466252766644,0.521710434016674,7,0.3592172094732644,red
47.6586304305082,0.614389993584602,1,0.3189158611634149,blue
65.79212815507391,0.553001854334285,4,0.3698147361318741,green
57.67434729152909,0.42147670512290136,6,0.3198201477692087,blue
45.30525614065048,1.0497180748194208,5,0.2309671248976974,green
55.42560043585965,0.43563518549172875,1,0.19323522308082786,red
45.365823071875376,1.3105630129739365,6,0.18161455323536965,green
45.34270246429743,0.9510029547498071,4,0.13389902098243642,red
52.41962271566034,0.787455792105948,7,0.17197674580313904,red
30.86719755342202,0.40350610469070064,4,0.12616114240597417,blue
32.75082167486967,0.5617090147256598,5,0.46310078944049066,red
44.37712470759027,2.128444062775253,6,0.40671867473307177,blue
39.87168879665576,1.6502341511372176,4,0.290037183351501,green
53.142473325952736,0.37622976511197836,5,0.2841164770298659,green
40.91975924478789,1.104433247750512,1,0.21810105618598996,red
35.87696298664709,2.1199385944276,4,0.31248734281748825,blue
64.65648768921554,0.18835905301973258,3,0.23676114401917475,red
47.74223699513465,1.721782673851759,1,0.11883400816382385,blue
50.67528204687924,0.5154970186552379,7,0.454502874707184,blue
35.75251813786544,1.769325974322058,2,0.34373937113770386,blue
44.556172754748175,0.4661447100185343,3,0.3276699588518008,green
51.10922589709866,0.16449384914945217,4,0.5139958493022699,blue
38.490064225776976,0.19641167538009788,3,0.1986815022954052,green
53.75698018345672,1.0492597826543413,7,0.15305602039055785,blue
43.99361310081195,1.2965702407299866,1,0.4173677494081522,green
47.083062502067236,0.40481843335381706,4,0.5997753999608368,green
43.98293387770603,1.8938133820359888,7,0.5733551452427532,green
68.52278184508938,0.1898501765672963,4,0.5233899630543689,red
49.86502775262066,0.9360561652954161,6,0.3071728014535079,blue
